primary_unit_encoded,skill_encoded,jaccard_followers,jaccard_followees,num_followers_s,num_followees_s,num_followers_d,num_followees_d,inter_followers,inter_followees,adar_index,follows_back,same_comp,shortest_path,page_rank_s,page_rank_d,katz_s,katz_d,hubs_s,hubs_d,authorities_s,authorities_d,indicator_link
30,19,0.0,0.0,0,0,1,0,0,0,0,0,0,-1,0.011494252873563216,0.011215713463336807,0.10721113770710687,0.10724793576363913,0.0,0.0,0.0,0.04489964630707578,0.0
71,25,0.0,0.0,0,0,0,0,0,0,0,0,0,-1,0.011494252873563216,0.011494252873563216,0.10721113770710687,0.10721113770710687,0.0,0.0,0.0,0.0,0.0
40,18,0.0,0.0,1,0,0,0,0,0,0,0,0,-1,0.011461911577745924,0.011494252873563216,0.10724793576363913,0.10721113770710687,0.0,0.0,7.122023497649266e-52,0.0,0.0
50,21,0.0,0.0,1,0,0,0,0,0,0,0,0,-1,0.012282571959109652,0.011494252873563216,0.10724793576363913,0.10721113770710687,0.0,0.0,1.6250427866776752e-139,0.0,0.0
41,29,0.0,0.0,0,0,1,0,0,0,0,0,0,-1,0.011494252873563216,0.011411667064601207,0.10721113770710687,0.10724793576363913,0.0,0.0,0.0,0.007286209545100076,0.0
34,80,0.0,0.0,0,0,1,0,0,0,0,0,0,-1,0.011494252873563216,0.012282571959109652,0.10721113770710687,0.10724793576363913,0.0,0.0,0.0,1.6250427866776752e-139,0.0
5,103,0.0,0.0,1,0,1,0,0,0,0,0,0,-1,0.011239777940685066,0.011461911577745924,0.10724793576363913,0.10724793576363913,0.0,0.0,7.3803727863405435e-09,7.122023497649266e-52,0.0
87,6,0.0,0.0,0,0,1,0,0,0,0,0,0,-1,0.011494252873563216,0.011239777940685066,0.10721113770710687,0.10724793576363913,0.0,0.0,0.0,7.3803727863405435e-09,0.0
54,96,0.0,0.0,0,0,0,0,0,0,0,0,0,-1,0.011494252873563216,0.011494252873563216,0.10721113770710687,0.10721113770710687,0.0,0.0,0.0,0.0,0.0
3,103,0.0,0.0,1,0,1,0,0,0,0,0,0,-1,0.011215713463336807,0.011461911577745924,0.10724793576363913,0.10724793576363913,0.0,0.0,0.04489964630707578,7.122023497649266e-52,0.0
27,56,0.0,0.0,0,0,1,0,0,0,0,0,0,-1,0.011494252873563216,0.011215713463336807,0.10721113770710687,0.10724793576363913,0.0,0.0,0.0,0.04489964630707578,0.0
30,55,0.0,0.0,0,0,0,0,0,0,0,0,0,-1,0.011494252873563216,0.011494252873563216,0.10721113770710687,0.10721113770710687,0.0,0.0,0.0,0.0,0.0
92,69,0.0,0.0,1,0,1,0,0,0,0,0,1,-1,0.011411667064601207,0.011215713463336807,0.10724793576363913,0.10724793576363913,0.0,0.0,0.007286209545100076,0.04489964630707578,0.0
23,27,0.0,0.0,0,0,0,0,0,0,0,0,0,-1,0.011494252873563216,0.011494252873563216,0.10721113770710687,0.10721113770710687,0.0,0.0,0.0,0.0,0.0
54,49,0.0,0.0,0,0,1,0,0,0,0,0,0,-1,0.011494252873563216,0.011411667064601207,0.10721113770710687,0.10724793576363913,0.0,0.0,0.0,0.007286209545100076,0.0
14,59,0.0,0.0,1,0,0,0,0,0,0,0,0,-1,0.011239777940685066,0.011494252873563216,0.10724793576363913,0.10721113770710687,0.0,0.0,7.3803727863405435e-09,0.0,0.0
81,86,0.0,0.0,1,0,1,0,0,0,0,0,1,-1,0.011411667064601207,0.011215713463336807,0.10724793576363913,0.10724793576363913,0.0,0.0,0.007286209545100076,0.04489964630707578,0.0
98,89,0.0,0.0,0,0,0,0,0,0,0,0,0,-1,0.011494252873563216,0.011494252873563216,0.10721113770710687,0.10721113770710687,0.0,0.0,0.0,0.0,0.0
62,91,0.0,0.0,1,0,0,0,0,0,0,0,0,-1,0.011461911577745924,0.011494252873563216,0.10724793576363913,0.10721113770710687,0.0,0.0,7.122023497649266e-52,0.0,0.0
67,86,0.0,0.0,0,0,1,0,0,0,0,0,0,-1,0.011494252873563216,0.011215713463336807,0.10721113770710687,0.10724793576363913,0.0,0.0,0.0,0.04489964630707578,0.0
80,43,0.0,0.0,1,0,0,0,0,0,0,0,0,-1,0.012282571959109652,0.011494252873563216,0.10724793576363913,0.10721113770710687,0.0,0.0,1.6250427866776752e-139,0.0,0.0
15,58,0.0,0.0,0,0,1,0,0,0,0,0,0,-1,0.011494252873563216,0.012282571959109652,0.10721113770710687,0.10724793576363913,0.0,0.0,0.0,1.6250427866776752e-139,0.0
